행정구역코드,행정동코드,시군구명,행정동명,1인세대비율,기초생활수급자비율,외국인비율,노령층비율,장애인비율,차상위비율
1101072,11110515,종로구,청운효자동,0.0009987398073025686,0.0005603461694113252,0.0005338144656726995,0.0012720308987869233,0.0005774490933036166,6.489376890031019e-06
1101053,11110530,종로구,사직동,0.001185491871680354,0.00038739982082758285,0.0009417512844182122,0.0010787171121102142,0.0010941140715226422,0.0004802138898622954
1101054,11110540,종로구,삼청동,0.00028805866368409124,0.00013143922492364418,0.00020280287560491204,0.00036393611306631015,0.0013727079323270185,0.00042180949785201627
1101055,11110550,종로구,부암동,0.0008401284649543122,0.00046695514117610435,0.0008834745960259961,0.0011062086889965183,0.001486678148110627,0.0011810665939856455
1101056,11110560,종로구,평창동,0.001187538469646138,0.00037010518596920864,0.0010023590403461168,0.002128197150388962,0.0012789990882382737,0.0011161728250853353
1101057,11110570,종로구,무악동,0.00035866629350363757,0.0005326747536379265,0.00022378248342610983,0.0008561662516020389,0.0007218113666295208,0.0012135134784358006
1101058,11110580,종로구,교남동,0.0008396168154628662,0.0005949354391280737,0.0007599280166344979,0.0009923150133246874,0.001572788977813798,6.489376890031019e-05
1101060,11110600,종로구,가회동,0.000469182583655971,0.00021099454527216566,0.00035898440049605116,0.000528012825911553,0.0009725458413534597,0.0004412776285221093
1101061,11110615,종로구,종로1·2·3·4가동,0.0020118058003656247,0.002666832695161307,0.0018904957714434903,0.0011803923091659098,0.0010763853712896362,0.001674259237628003
1101063,11110630,종로구,종로5·6가동,0.0012862868214952139,0.0009546638441822578,0.001368336643449234,0.0006549977286721001,0.00125873771654341,0.00032446884450155095
1101064,11110640,종로구,이화동,0.0014131758953738187,0.0007886353495418652,0.0015688084515184575,0.0008024922205383025,0.0007699321244048222,0.00022712819115108568
1101073,11110650,종로구,혜화동,0.002905657461921766,0.00102038345664408,0.007510699599988811,0.0015674562567556186,0.006511498328436835,0.0011031940713052734
1101067,11110670,종로구,창신1동,0.0008304071246168385,0.0014873385978201841,0.0027413354219698455,0.0007924556131036201,0.005503495086617364,0.006443951251800802
1101068,11110680,종로구,창신2동,0.001021252384926192,0.0014077832774716627,0.004163286618739918,0.0011018449466336127,0.0010459933137473407,0.0031473477916650443
1101069,11110690,종로구,창신3동,0.00048299711992501267,0.0006053122200430982,0.0006503678424571316,0.0007924556131036201,0.0012384763448485463,0.00043478825163207826
1101070,11110700,종로구,숭인1동,0.0007597994947972921,0.0008301424732019633,0.0011328988223446809,0.0007322359684955257,0.002023604498024516,0.00032446884450155095
1101071,11110710,종로구,숭인2동,0.0024001477643731295,0.0015219278675369327,0.0020606637015487613,0.001049480038278748,0.0016133117212035254,0.0015574504536074445
1102052,11140520,중구,소공동,0.0003965283558706407,0.0001694874216120675,0.0012144861860937835,0.00016887682944443887,0.002745415864654037,0.0008241508650339394
1102054,11140540,중구,회현동,0.0007884518663182675,0.0015323046484519572,0.0014149579941630068,0.0008024922205383025,0.00299108499645426,0.0031862840530052306
