CTY_NM,ADMI_NM,RSPOP_CNT,노령층인구,장애인인구,차상위인구,노령층비율,장애인비율,차상위비율
광진구,중곡4동,4211389,874672,1343.0,273,0.2076920464958236,0.0003188971619577294,6.482421832796733e-05
광진구,화양동,3005640,416432,536.0,354,0.13855019230513302,0.0001783314036278463,0.00011777857627659999
구로구,가리봉동,1487444,388270,547.0,157,0.26103167581435,0.0003677449369522483,0.00010555019214168736
구로구,개봉1동,4657914,1059774,1670.0,600,0.22752116075994533,0.000358529590713783,0.00012881302660375438
구로구,개봉2동,4564806,1056071,1438.0,414,0.23135068609706524,0.0003150188638903822,9.069388710056901e-05
구로구,개봉3동,2956039,677020,1060.0,210,0.22902945461815627,0.00035858796179617385,7.104101129924199e-05
구로구,고척1동,3349514,729313,1148.0,345,0.2177369612427355,0.00034273628950349215,0.00010300001731594494
구로구,고척2동,3994097,847841,1328.0,469,0.21227351263627298,0.00033249067311084333,0.00011742328741640475
구로구,구로1동,3006845,455381,519.0,567,0.15144811255651688,0.00017260617025486848,0.0001885697466946251
구로구,구로2동,3793065,974779,1458.0,691,0.2569897958511125,0.0003843857144551965,0.00018217457386045322
구로구,구로3동,3530649,582011,910.0,748,0.16484533013618743,0.0002577429815311576,0.00021185906613769876
구로구,구로4동,3137178,750401,1184.0,182,0.2391961820464124,0.00037740925124427115,5.801392206626465e-05
구로구,구로5동,4210100,799755,1101.0,134,0.18996104605591316,0.0002615139782903019,3.182822260753901e-05
구로구,수궁동,3421462,730478,1268.0,788,0.21349879086776355,0.000370601807063764,0.00023031090218158203
구로구,신도림동,5095892,827013,945.0,389,0.16229013487726976,0.00018544349056063197,7.633599770167813e-05
구로구,오류1동,2976892,647064,1089.0,412,0.21736226910482476,0.0003658177723612412,0.00013839937760590576
구로구,오류2동,5833182,1179183,2476.0,359,0.20215090151481643,0.00042446815477384386,6.154445378182954e-05
금천구,가산동,2855337,471043,0.0,616,0.1649693188579842,0.0,0.0002157363561639134
금천구,독산1동,5072228,938086,743.0,63,0.18494555055490408,0.00014648395143120537,1.2420577308433297e-05
금천구,독산2동,2845205,602012,1980.0,446,0.21158826868362737,0.0006959076762482844,0.00015675496141754285
금천구,독산3동,3583542,794737,984.0,273,0.22177415529105002,0.0002745886611626151,7.618161026157918e-05
금천구,독산4동,2342761,503928,1219.0,434,0.21510004648361486,0.0005203262304605549,0.00018525150452820412
금천구,시흥1동,4786307,1041906,818.0,230,0.21768474107490388,0.00017090420652081032,4.8053749999738837e-05
금천구,시흥2동,3206289,692946,1659.0,1,0.21612087993315637,0.0005174206068136715,3.118870444928701e-07
금천구,시흥3동,1630035,406437,1120.0,652,0.24934249878070103,0.0006871018106973163,0.00039999141122736627
금천구,시흥4동,3051206,692173,556.0,114,0.22685226759517385,0.00018222302918911406,3.7362275768991016e-05
금천구,시흥5동,2939144,729892,1097.0,487,0.24833488934193085,0.0003732379223338496,0.00016569450152833614
노원구,공릉1동,5336069,1097929,1197.0,1022,0.20575614745611423,0.00022432243661017127,0.00019152675874318717
노원구,공릉2동,5905944,950759,2226.0,330,0.16098340925684362,0.000376908416334459,5.587591077734567e-05
노원구,상계10동,2566776,440891,1357.0,234,0.17176839739813682,0.0005286787783585322,9.116494777884786e-05
노원구,상계1동,5670724,1206877,505.0,645,0.21282591076553894,8.905388447753761e-05,0.0001137420900752708
노원구,상계2동,2951392,592246,1901.0,657,0.20066666847372358,0.0006441028504515835,0.0002226068241697477
노원구,상계3.4동,4225909,1111129,881.0,470,0.2629325430339366,0.0002084758569103121,0.00011121867508268636
노원구,상계5동,3480022,818599,1600.0,455,0.23522811062688684,0.00045976720836822294,0.0001307462998797134
노원구,상계6.7동,4825777,837103,1302.0,875,0.17346491559804775,0.0002698011118209565,0.0001813179514925783
노원구,상계8동,3421262,492154,1275.0,592,0.1438515962823075,0.00037266950031888816,0.00017303556406963278
노원구,상계9동,3118419,570244,723.0,251,0.182863175217955,0.00023184825387480003,8.048950445722657e-05
노원구,월계1동,3124130,705551,771.0,712,0.225839193631507,0.00024678870597574364,0.0002279034483200123
노원구,월계2동,3835295,945896,1060.0,842,0.24662926841351188,0.0002763803045137336,0.00021953982679298462
노원구,월계3동,4522458,1006234,2314.0,816,0.22249714646327284,0.0005116686545237125,0.0001804328531077569
노원구,중계1동,3943249,433697,1955.0,410,0.10998468521769739,0.0004957840603015433,0.00010397517377167914
노원구,중계2.3동,5270771,1210050,760.0,314,0.22957741855982738,0.0001441914285405304,5.957382705490335e-05
노원구,중계4동,2967298,644916,3215.0,27,0.21734116357709943,0.0010834772914617946,9.09918720667759e-06
노원구,중계본동,3723666,500079,1526.0,43,0.13429749069868244,0.0004098111914441306,1.1547759654061347e-05
노원구,하계1동,3988135,755626,850.0,13,0.18946851097066675,0.0002131322033983303,3.259668993150934e-06
노원구,하계2동,3304130,550085,2129.0,124,0.16648406691020026,0.0006443451074866909,3.752878972679647e-05
도봉구,도봉1동,3129571,936310,992.0,96,0.29918158111766757,0.00031697635234989076,3.067513087257007e-05
도봉구,도봉2동,3984188,1076215,1481.0,129,0.27012154044939646,0.00037171940681514023,3.237799019524179e-05
도봉구,방학1동,4179350,962458,1480.0,2,0.2302889205259191,0.0003541220524722744,4.785433141517222e-07
도봉구,방학2동,2985678,729110,1505.0,2,0.24420248935082753,0.0005040731117019317,6.698646002683477e-07
도봉구,방학3동,4072119,835567,1248.0,2,0.20519218618119953,0.00030647434419279004,4.911447823602404e-07
도봉구,쌍문1동,3019638,738250,1042.0,989,0.24448294795601327,0.00034507447581465066,0.0003275227030524851
도봉구,쌍문2동,2791645,653484,1117.0,2,0.23408563767957602,0.00040012250841349814,7.164234707493252e-07
도봉구,쌍문3동,2404219,575421,924.0,12,0.23933801371672048,0.00038432438974985225,4.991225840907172e-06
도봉구,쌍문4동,2782760,531826,803.0,179,0.19111457689488134,0.0002885624344176285,6.432462734838794e-05
도봉구,창1동,3680099,768137,684.0,44,0.20872726521759333,0.00018586456505653788,1.1956200091356238e-05
도봉구,창2동,4197290,865005,1054.0,420,0.20608654631917261,0.00025111440953567657,0.00010006456546962445
도봉구,창3동,2070635,490372,1317.0,1197,0.23682203768409207,0.0006360367713286021,0.0005780835347610757
도봉구,창4동,3947395,734712,783.0,133,0.18612578675303587,0.00019835866438499313,3.369310646641646e-05
도봉구,창5동,3606194,744540,1000.0,539,0.20646143829200536,0.0002773006665753423,0.00014946505928410952
동대문구,답십리1동,3500176,683091,1012.0,209,0.1951590434309589,0.0002891283181188603,5.971128308976463e-05
동대문구,답십리2동,4085701,931360,1059.0,2,0.22795598601072375,0.00025919664703804804,4.89512081280544e-07
동대문구,용신동,4341542,1020385,1463.0,288,0.2350282457246757,0.00033697704640424993,6.633587789776075e-05
동대문구,이문1동,3476011,723182,1482.0,333,0.20804939915322476,0.0004263507796724464,9.57994666875335e-05
동대문구,이문2동,2967799,647186,812.0,353,0.21806935038390404,0.00027360343473395606,0.0001189433650998602
동대문구,장안1동,5199633,1082549,1015.0,863,0.20819719391733993,0.00019520608473713434,0.0001659732523430019
동대문구,장안2동,4405890,870665,1689.0,624,0.19761387597057575,0.0003833504694851664,0.00014162859263395136
동대문구,전농1동,4102182,974133,1306.0,416,0.23746703583605017,0.000318367151920612,0.00010140944502218576
동대문구,전농2동,2761068,617003,1540.0,1324,0.2234653402234208,0.0005577551874854223,0.00047952458976019424
동대문구,제기동,3563215,954291,894.0,517,0.26781740647140295,0.0002508970129503833,0.00014509368646012098
동대문구,청량리동,3025574,923680,1373.0,448,0.3052908307646747,0.00045379818837681707,0.00014807107676097163
동대문구,회기동,1466387,265455,1355.0,810,0.18102656392889463,0.0009240398339592481,0.0005523780557247166
동대문구,휘경1동,1995123,417030,325.0,489,0.20902470674740353,0.0001628972248828769,0.0002450976706699286
동대문구,휘경2동,3419639,666702,672.0,834,0.19496268465764954,0.0001965119710004477,0.0002438853925809128
동작구,노량진1동,4517268,983310,886.0,498,0.21767803017221915,0.00019613624872378614,0.000110243625129171
동작구,노량진2동,1859962,459084,1266.0,897,0.2468243974876906,0.0006806590672282552,0.00048226791730153625
동작구,대방동,5416449,958131,663.0,1449,0.17689283144731907,0.00012240491879458295,0.0002675184424334098
동작구,사당1동,3177949,642922,1598.0,429,0.20230721134920668,0.0005028400392831981,0.00013499272644085854
동작구,사당2동,3984289,905078,796.0,855,0.22716173450269295,0.00019978470437259947,0.00021459286713388512
동작구,사당3동,3457716,761825,929.0,765,0.22032607651987612,0.0002686744660348045,0.00022124431271972598
동작구,사당4동,2023478,445979,800.0,519,0.22040219859074325,0.00039535888208322504,0.00025648907475149226
동작구,사당5동,1945681,384771,563.0,326,0.1977564667589394,0.00028935884145448305,0.00016755059025605945
동작구,상도1동,6203727,1183359,484.0,308,0.19074968966235942,7.801761747414095e-05,4.9647574756271515e-05
동작구,상도2동,3697879,734708,1524.0,896,0.1986836237746016,0.0004121281415643941,0.00024230105960741278
동작구,상도3동,3445893,745590,973.0,662,0.21637061858856327,0.0002823651227707883,0.00019211275567755586
동작구,상도4동,4039684,850204,1155.0,239,0.21046299661062598,0.00028591345263639435,5.916304344597251e-05
동작구,신대방1동,3379046,642236,1309.0,337,0.19006429625403146,0.0003873874460424629,9.973229130352176e-05
동작구,신대방2동,2873320,528648,815.0,384,0.1839850764968747,0.0002836440076288057,0.00013364331156989127
동작구,흑석동,4560743,1006209,711.0,471,0.22062392026913158,0.0001558956512129712,0.00010327264658412017
마포구,공덕동,5218537,1063117,1149.0,469,0.20371935659362,0.00022017665104223655,8.987193153943337e-05
마포구,대흥동,1864164,365622,1513.0,334,0.19613188539205778,0.0008116238700028539,0.0001791687855789512
마포구,도화동,3093066,658592,435.0,446,0.21292529806994095,0.00014063715420233516,0.00014419349603273903
마포구,망원1동,3012232,597239,762.0,789,0.19827124869531962,0.00025296856284642085,0.0002619320158606641
마포구,망원2동,2731421,531620,853.0,714,0.19463129264950368,0.0003122916606411095,0.00026140239823886543
마포구,상암동,4445019,695996,748.0,702,0.1565788582680974,0.00016827824582977036,0.00015792958365307326
마포구,서강동,3456004,559610,1157.0,330,0.161924002402775,0.00033477970511608206,9.548600059490672e-05
마포구,서교동,3589860,619237,688.0,537,0.1724961419108266,0.0001916509278913384,0.00014958800621751265
마포구,성산1동,2766611,525965,671.0,529,0.19011165646344932,0.00024253500040302017,0.00019120866648762692
마포구,성산2동,5541443,1032273,706.0,170,0.18628234559121154,0.00012740363836639664,3.0677929918254146e-05
마포구,신수동,3003351,569865,2041.0,135,0.18974305700532504,0.000679574248897315,4.494979108335989e-05
마포구,아현동,3296418,584339,720.0,364,0.17726483716567498,0.00021841890197177663,0.00011042288933017597
마포구,연남동,2345598,454352,658.0,390,0.19370412150760702,0.00028052547793782224,0.00016626890029749344
마포구,염리동,1951567,377921,540.0,286,0.19365002585102126,0.00027670072305998206,0.000146548901472509
마포구,용강동,2877930,496943,432.0,513,0.1726737620442471,0.00015010789004597054,0.00017825311942959
마포구,합정동,2617790,479673,600.0,274,0.18323585925532607,0.0002292009672280817,0.00010466844170082398
서대문구,남가좌1동,1622392,306624,595.0,234,0.1889950147683174,0.00036674243955838045,0.00014423148043136308
서대문구,남가좌2동,3779107,821511,521.0,225,0.21738230751338875,0.00013786325711338685,5.953787495299816e-05
서대문구,북가좌1동,2516274,500540,1081.0,182,0.1989211031866959,0.0004296034533600077,7.232916606061184e-05
서대문구,북가좌2동,4598531,1046029,710.0,138,0.22747025082575284,0.00015439713247556664,3.0009583495250984e-05
서대문구,북아현동,1925482,378871,1584.0,485,0.19676683552481924,0.0008226511595538156,0.0002518849825654044
서대문구,신촌동,2575596,391633,612.0,251,0.1520552912801542,0.000237614905443245,9.74531720036838e-05
서대문구,연희동,5232655,1096504,486.0,460,0.20955021877039476,9.287828071982579e-05,8.790948380888861e-05
서대문구,천연동,2602258,575163,1398.0,617,0.2210245871085803,0.0005372257477928783,0.00023710177853233615
서대문구,충현동,2641041,600510,791.0,214,0.22737625050122282,0.00029950311259840343,8.102865498869575e-05
서대문구,홍은1동,3304774,798069,704.0,207,0.24148973575802762,0.00021302515693962735,6.263665836150975e-05
서대문구,홍은2동,3941199,886602,1066.0,365,0.22495743046722583,0.0002704760657860717,9.261141089297952e-05
서대문구,홍제1동,3423732,787931,1267.0,533,0.23013804818835118,0.0003700640120196324,0.00015567807293327866
서대문구,홍제2동,2035091,467095,935.0,157,0.22952044896272453,0.00045943891452519814,7.714642735877659e-05
서대문구,홍제3동,2477561,638374,623.0,207,0.25766227350204496,0.00025145697724495987,8.354991057737832e-05
서초구,내곡동,2055118,472426,834.0,347,0.22987779777122286,0.0004058161137219371,0.0001688467523519331
서초구,반포1동,4421913,628238,853.0,316,0.14207380380391926,0.0001929029359012717,7.146228340539491e-05
서초구,반포2동,2650521,410910,564.0,658,0.15502989789554583,0.0002127883536859357,0.00024825307930025835
서초구,반포3동,2995446,480155,258.0,158,0.1602949944682695,8.613074647314624e-05,5.2746736212236844e-05
서초구,반포4동,2721525,483940,315.0,194,0.17781942109662782,0.00011574393033317717,7.128356344329007e-05
서초구,반포본동,1516045,276124,358.0,281,0.18213443532348975,0.00023614074780102173,0.00018535069869298076
서초구,방배1동,2360448,469837,192.0,816,0.19904568963179872,8.134049129656744e-05,0.0003456970880104116
서초구,방배2동,3369155,708033,476.0,211,0.21015150683183173,0.00014128171603859129,6.262697916836715e-05
서초구,방배3동,3133785,667068,720.0,259,0.21286335852651028,0.00022975411523126188,8.264766089569003e-05
서초구,방배4동,3421729,606783,583.0,146,0.17733227850598338,0.00017038169884289492,4.266848718878672e-05
서초구,방배본동,2953576,521903,588.0,193,0.17670207233536567,0.00019908070758971498,6.534451796737243e-05
서초구,서초1동,2897301,521674,464.0,221,0.18005516168323554,0.00016014904906324885,7.6277887592625e-05
서초구,서초2동,2948158,479285,489.0,250,0.1625710019612246,0.0001658662798940898,8.47987116022954e-05
서초구,서초3동,4222281,815329,297.0,113,0.19310154866528306,7.034112604064012e-05,2.6762785328593716e-05
서초구,서초4동,4145281,685021,700.0,567,0.16525321202591572,0.00016886671856503817,0.00013678204203768093
서초구,양재1동,5981442,1127127,463.0,275,0.18843733668235854,7.740608368349973e-05,4.597553566514563e-05
서초구,양재2동,3147211,513870,1965.0,854,0.16327789906682455,0.0006243623322363833,0.00027135136474802613
서초구,잠원동,4512639,669965,650.0,207,0.1484641248723862,0.00014403988442239675,4.587116319297866e-05
성동구,금호1가동,2042867,438453,621.0,168,0.21462630704788907,0.0003039845472074296,8.223736542809689e-05
성동구,금호2.3가동,3189939,672718,644.0,373,0.21088741822335788,0.00020188473823480637,0.00011693013565463165
성동구,금호4가동,2013995,399862,946.0,241,0.19854170442329797,0.0004697131820088928,0.00011966266053292089
성동구,마장동,3260799,675191,530.0,283,0.20706305417782575,0.00016253685063078097,8.678854477077551e-05
성동구,사근동,1558838,262020,1089.0,389,0.16808674153439934,0.0006985972884930955,0.00024954485328173936
성동구,성수1가1동,2349844,413480,387.0,655,0.1759606169601046,0.00016469178379500938,0.00027874190797346545
성동구,성수1가2동,2167770,394460,607.0,462,0.18196579895468615,0.00028001125580665845,0.00021312224082813215
성동구,성수2가1동,2500552,529916,541.0,247,0.21191960815052036,0.00021635222942774235,9.877818977569753e-05
성동구,성수2가3동,1582271,334352,839.0,365,0.21131146308059745,0.0005302505070243972,0.00023068109066019663
성동구,송정동,1554452,320280,422.0,326,0.20604045670113968,0.0002714783087544678,0.00020972021008046566
성동구,옥수동,3404416,671317,539.0,134,0.19719006137910292,0.00015832377711772004,3.9360642177689215e-05
성동구,왕십리2동,2317510,453952,723.0,9,0.1958791979322635,0.00031197276387156907,3.883478388442768e-06
성동구,왕십리도선동,3008527,579534,993.0,32,0.19263047996577728,0.0003300618541897746,1.0636434374695656e-05
성동구,용답동,2001428,433117,663.0,66,0.21640398755288723,0.00033126347787679596,3.297645481126476e-05
성동구,응봉동,2262156,438378,673.0,22,0.1937876963392445,0.0002975037972624346,9.725235571728917e-06
성동구,행당1동,2100464,422266,539.0,112,0.201034628539218,0.00025660996808324257,5.332155180950495e-05
성동구,행당2동,3462703,644353,633.0,242,0.18608381949014974,0.00018280516694616893,6.98875993696254e-05
성북구,길음1동,5070567,785083,918.0,102,0.1548314024841798,0.0001810448417307177,2.0116093525635297e-05
