시군구명	행정동명	전체세대	1인세대
마포구	대흥동	8748	5675
마포구	염리동	7777	3393
마포구	신수동	10014	3979
마포구	서교동	15402	10307
마포구	합정동	9259	5150
마포구	망원1동	10185	5175
마포구	망원2동	8431	3391
마포구	연남동	8520	5139
마포구	성산1동	9437	4599
마포구	성산2동	19467	9399
마포구	상암동	12692	4609
마포구	도화동	9329	3652
마포구	서강동	12156	5906
마포구	공덕동	18613	9198
마포구	아현동	10757	3367
양천구	목1동	10358	1711
양천구	목2동	13364	5320
양천구	목3동	10090	4111
양천구	목4동	10070	3326
양천구	신월1동	10292	4940
양천구	신월2동	8482	2681
양천구	신월3동	7854	4152
양천구	신월4동	6872	1733
양천구	신월5동	6435	2455
양천구	신월6동	5337	1286
양천구	신월7동	9049	3511
양천구	신정1동	6979	1419
양천구	신정2동	6868	1603
양천구	신정3동	19747	5381
양천구	신정6동	8213	1207
양천구	신정7동	11434	3299
양천구	목5동	13369	1782
양천구	신정4동	16374	7918
강서구	염창동	16515	4909
강서구	등촌1동	14012	8194
강서구	등촌2동	8587	3046
강서구	등촌3동	15093	6962
강서구	화곡본동	17464	8755
강서구	화곡2동	8238	3342
강서구	화곡3동	9759	3875
강서구	화곡4동	9740	4073
강서구	화곡6동	13107	6936
강서구	화곡8동	11843	5225
강서구	가양1동	20752	13874
강서구	가양2동	8121	4638
강서구	가양3동	7791	3673
강서구	발산1동	13438	3103
강서구	공항동	13958	5933
강서구	방화1동	17352	5362
강서구	방화2동	12124	6231
강서구	방화3동	11290	5221
강서구	화곡1동	28308	15186
강서구	우장산동	16205	4207
구로구	신도림동	13932	3666
구로구	구로1동	8327	2387
구로구	구로3동	13587	8350
구로구	구로4동	10537	5594
구로구	구로5동	15584	8407
구로구	고척1동	11120	3918
구로구	고척2동	11464	4093
구로구	개봉2동	12482	3546
구로구	개봉3동	8779	2926
구로구	오류1동	12396	6907
구로구	수궁동	9943	3267
구로구	가리봉동	6117	4440
구로구	구로2동	12410	6451
구로구	개봉1동	14917	5436
구로구	오류2동	15797	5062
구로구	항동	6263	1626
금천구	가산동	17500	13536
금천구	독산1동	24420	13283
금천구	독산2동	9430	4563
금천구	독산3동	12880	6624
금천구	독산4동	7659	3729
금천구	시흥1동	16252	7701
금천구	시흥2동	8220	2207
금천구	시흥3동	4695	1600
금천구	시흥4동	9191	3531
금천구	시흥5동	9336	4261
영등포구	여의동	13288	4096
영등포구	당산1동	11000	5961
영등포구	당산2동	18792	9969
영등포구	양평1동	9930	5381
영등포구	양평2동	10893	5045
영등포구	신길1동	11411	7168
영등포구	신길3동	7612	3120
영등포구	신길4동	5798	2445
영등포구	신길5동	4665	1923
영등포구	신길6동	9187	4304
영등포구	신길7동	7849	2267
영등포구	대림1동	7012	3234
영등포구	대림2동	6939	4077
영등포구	대림3동	10311	4261
영등포구	영등포본동	10390	4979
영등포구	영등포동	21084	16182
영등포구	도림동	9553	5074
영등포구	문래동	13118	3964
동작구	노량진2동	6856	4695
동작구	상도1동	22244	11214
동작구	상도2동	12572	5154
동작구	상도3동	12123	5869
동작구	상도4동	14144	6782
동작구	사당1동	13615	8532
동작구	사당3동	10500	3814
동작구	사당4동	7265	3642
동작구	사당5동	6691	2744
동작구	대방동	17044	7647
동작구	신대방1동	10409	4209
동작구	신대방2동	10682	5033
동작구	흑석동	12706	4987
동작구	노량진1동	16357	8447
동작구	사당2동	12565	4508
관악구	보라매동	13096	7127
관악구	청림동	6425	2119
관악구	행운동	18196	12152
관악구	낙성대동	11871	8834
관악구	중앙동	10146	7209
관악구	인헌동	14745	8880
관악구	남현동	9856	5579
관악구	서원동	14764	10113
관악구	신원동	11311	7523
관악구	서림동	14986	10252
관악구	신사동	14421	9808
관악구	신림동	18890	16087
관악구	난향동	6198	1980
관악구	조원동	11881	7721
관악구	대학동	16977	13078
관악구	은천동	16073	7603
관악구	성현동	12263	4226
관악구	청룡동	24210	17689
관악구	난곡동	13031	5939
관악구	삼성동	9853	4205
관악구	미성동	14430	6387
서초구	서초1동	9466	4284
서초구	서초2동	11675	4766
서초구	서초3동	15209	7157
서초구	서초4동	10652	2239
서초구	잠원동	10485	3450
서초구	반포본동	137	68
서초구	반포1동	14774	6201
서초구	반포2동	4985	617
서초구	반포3동	7855	1310
서초구	반포4동	7081	1778
서초구	방배본동	7930	2310
서초구	방배1동	7495	2958
서초구	방배2동	8005	2887
서초구	방배3동	6383	1382
서초구	방배4동	9600	3365
서초구	양재1동	17837	6231
서초구	양재2동	10952	5555
서초구	내곡동	7228	2250
강남구	신사동	6878	2669
강남구	개포3동	7413	2444
강남구	논현1동	13683	9376
강남구	논현2동	11141	6276
강남구	삼성1동	5350	1988
강남구	삼성2동	13682	5810
강남구	대치1동	7207	576
강남구	대치4동	9912	5404
강남구	역삼1동	23700	17533
강남구	역삼2동	15807	6596
강남구	도곡1동	8425	2701
강남구	도곡2동	11498	2146
강남구	개포1동	2632	686
강남구	개포4동	10034	3581
강남구	일원본동	8029	1483
강남구	일원1동	7435	3466
강남구	수서동	7736	3755
강남구	세곡동	18054	6333
강남구	압구정동	10053	2704
강남구	청담동	11063	4388
강남구	대치2동	12951	2578
강남구	개포2동	10094	1705
송파구	풍납1동	5827	2406
송파구	풍납2동	10855	4306
송파구	거여1동	5582	2189
송파구	거여2동	10040	3277
송파구	마천1동	8708	3668
송파구	마천2동	8585	3630
송파구	방이1동	6127	1891
송파구	방이2동	15147	9307
송파구	오륜동	5889	705
송파구	오금동	15579	4752
송파구	송파1동	12390	6394
송파구	송파2동	7185	1807
송파구	석촌동	16861	9154
송파구	삼전동	16013	8717
송파구	가락본동	11643	4712
송파구	가락1동	9858	1701
송파구	가락2동	12308	3428
송파구	문정1동	8468	3004
송파구	문정2동	15686	9033
송파구	잠실본동	15822	9352
송파구	잠실4동	7205	1043
송파구	잠실6동	5842	979
송파구	잠실7동	3376	536
송파구	잠실2동	11516	1653
송파구	잠실3동	11827	1822
송파구	장지동	12057	3665
송파구	위례동	14457	2061
강동구	명일1동	10024	2569
강동구	명일2동	6484	1740
강동구	고덕1동	8098	1372
강동구	고덕2동	8898	2369
강동구	암사2동	6362	2067
강동구	암사3동	6167	1097
강동구	천호1동	12972	5824
강동구	천호3동	14352	7893
강동구	성내1동	8293	2686
강동구	성내2동	12745	7031
강동구	성내3동	10644	4443
강동구	둔촌1동	39	26
강동구	둔촌2동	10291	3448
강동구	암사1동	15949	6606
강동구	천호2동	17578	9043
강동구	길동	21881	9918
강동구	강일동	13046	3484
강동구	상일1동	13570	2234
강동구	상일2동	4776	1570
