시군구명	행정동명	외국인
금천구	독산2동	3337
금천구	독산3동	7431
금천구	독산4동	3598
금천구	시흥1동	3922
금천구	시흥2동	352
금천구	시흥3동	389
금천구	시흥4동	1651
금천구	시흥5동	1369
영등포구	여의도동	718
영등포구	당산1동	791
영등포구	당산2동	832
영등포구	양평1동	527
영등포구	양평2동	401
영등포구	신길1동	2976
영등포구	신길3동	2272
영등포구	신길4동	1665
영등포구	신길5동	2247
영등포구	신길6동	1894
영등포구	신길7동	452
영등포구	대림1동	5360
영등포구	대림2동	12926
영등포구	대림3동	7614
영등포구	영등포본동	4184
영등포구	영등포동	1139
영등포구	도림동	4532
영등포구	문래동	469
동작구	노량진2동	1315
동작구	상도1동	2151
동작구	상도2동	570
동작구	상도3동	750
동작구	상도4동	826
동작구	사당1동	1023
동작구	사당3동	515
동작구	사당4동	349
동작구	사당5동	262
동작구	대방동	809
동작구	신대방1동	4065
동작구	신대방2동	553
동작구	흑석동	2552
동작구	노량진1동	621
동작구	사당2동	834
관악구	보라매동	1018
관악구	청림동	246
관악구	행운동	935
관악구	낙성대동	2051
관악구	중앙동	752
관악구	인헌동	610
관악구	남현동	434
관악구	서원동	1253
관악구	신원동	1890
관악구	서림동	1054
관악구	신사동	4872
관악구	신림동	1242
관악구	난향동	335
관악구	조원동	3058
관악구	대학동	1177
관악구	은천동	1069
관악구	성현동	525
관악구	청룡동	2077
관악구	난곡동	1084
관악구	삼성동	431
관악구	미성동	1354
서초구	서초1동	435
서초구	서초2동	706
서초구	서초3동	733
서초구	서초4동	629
서초구	잠원동	501
서초구	반포본동	61
서초구	반포1동	833
서초구	반포2동	456
서초구	반포3동	225
서초구	반포4동	1032
서초구	방배본동	466
서초구	방배1동	341
서초구	방배2동	330
서초구	방배3동	270
서초구	방배4동	559
서초구	양재1동	860
서초구	양재2동	433
서초구	내곡동	269
강남구	신사동	503
강남구	논현1동	1054
강남구	논현2동	676
강남구	삼성1동	475
강남구	삼성2동	652
강남구	대치1동	212
강남구	대치4동	521
강남구	역삼1동	1547
강남구	역삼2동	675
강남구	도곡1동	319
강남구	도곡2동	561
강남구	개포1동	87
강남구	개포4동	375
강남구	일원본동	160
강남구	일원1동	306
강남구	일원2동	183
강남구	수서동	222
강남구	세곡동	529
강남구	압구정동	621
강남구	청담동	686
강남구	대치2동	387
강남구	개포2동	267
송파구	풍납1동	1296
송파구	풍납2동	380
송파구	거여1동	190
송파구	거여2동	197
송파구	마천1동	441
송파구	마천2동	414
송파구	방이1동	206
송파구	방이2동	962
송파구	오륜동	113
송파구	오금동	567
송파구	송파1동	694
송파구	송파2동	321
송파구	석촌동	1178
송파구	삼전동	786
송파구	가락본동	656
송파구	가락1동	290
송파구	가락2동	429
송파구	문정1동	367
송파구	문정2동	466
송파구	잠실본동	1004
송파구	잠실4동	192
송파구	잠실6동	290
송파구	잠실7동	108
송파구	잠실2동	364
송파구	잠실3동	450
송파구	장지동	414
송파구	위례동	436
강동구	명일1동	203
강동구	명일2동	101
강동구	고덕1동	286
강동구	고덕2동	338
강동구	암사2동	134
강동구	암사3동	147
강동구	천호1동	603
강동구	천호3동	951
강동구	성내1동	352
강동구	성내2동	1277
강동구	성내3동	473
강동구	둔촌1동	*
강동구	둔촌2동	392
강동구	암사1동	721
강동구	천호2동	1403
강동구	길동	785
강동구	강일동	498
강동구	상일1동	310
강동구	상일2동	148
